	Symbol1		Symbol2		PairTrade	Symbol1Trade	Symbol2Trade	SP500Trade
AAL	APA	2.8308475528290844e-17	30.36546194220919	26.39110628257235	164.7%
UAA	VTR	-4.2462713292436265e-17	21.550597665794346	57.57915536340964	160.3%
PXD	WYNN	-9.200254546694524e-17	130.67310658489092	121.0017433318484	159.3%
HES	ULTA	-7.077118882072711e-17	59.55059964913296	299.32310850591773	154.5%
BKR	WYNN	-3.5385594410363554e-18	21.820666073802933	121.0017433318484	154.1%
CCL	FANG	3.538559441036356e-17	47.88007239231551	91.0464641373471	153.8%
FLT	PEAK	-3.715487413088173e-17	271.98211153189976	29.390038152139976	151.7%
VLO	WYNN	7.430974826176346e-17	74.28138666038969	121.0017433318484	151.2%
CVX	UAA	1.0615678323109066e-17	104.8554801788938	21.550597665794346	144.2%
AAL	DVN	-2.8308475528290844e-17	30.36546194220919	23.4615577302606	142.7%
LUMN	WDC	9.200254546694524e-17	11.18029068190738	50.43285378991845	141.0%
AIG	WYNN	3.538559441036356e-17	46.98957057208179	121.0017433318484	140.3%
K	MU	-5.4847671336063505e-17	55.10002573932785	43.49149536801525	138.3%
CVX	UA	-7.077118882072711e-18	104.8554801788938	19.310199247413426	137.7%
GWW	TWTR	6.104015035787713e-17	283.1799529786129	35.64597617677484	137.2%
APA	SLB	-7.077118882072711e-17	26.39110628257235	35.739551012259554	136.5%
CBOE	WDC	9.200254546694524e-17	105.2899678446857	50.43285378991845	136.4%
LKQ	WY	6.280943007839532e-17	29.541155332588104	23.966735649868788	136.3%
LRCX	POOL	6.36940699386544e-17	209.00412564828576	184.18961088020964	136.2%
BKR	NLSN	-3.8924153851399907e-17	21.820666073802933	21.822404709470224	135.8%
MAS	FB	3.18470349693272e-17	39.64013605003813	185.3225893423377	135.5%
NLSN	PXD	1.2561886015679063e-16	21.822404709470224	130.67310658489092	135.4%
BIIB	KR	-6.723262937969076e-17	261.66737025287523	23.95469055327761	135.2%
DAL	UAA	-4.2462713292436265e-17	54.9055970484517	21.550597665794346	135.0%
ETN	TGT	5.661695105658169e-17	60.95059152428372	89.99990759617779	133.4%
FB	PHM	-1.0969534267212701e-16	185.3225893423377	32.35688658634505	133.4%
HES	MAR	-1.3446525875938151e-16	59.55059964913296	129.95632606293574	132.8%
CTXS	DPZ	5.4847671336063505e-17	99.29579463518	260.5725640528706	132.7%
HES	SYY	4.9539832174508976e-17	59.55059964913296	69.00827190505557	132.4%
COP	WYNN	6.723262937969076e-17	56.07521642251793	121.0017433318484	132.3%
BIIB	HPQ	-8.934862588616797e-17	261.66737025287523	18.3471035672374	132.0%
AVGO	HOLX	4.865519231424989e-17	268.348134196612	48.18812769247716	131.3%
JNJ	MU	4.9539832174508976e-17	127.25251988870689	43.49149536801525	131.2%
HES	OMC	-6.546334965917258e-17	59.55059964913296	70.94809096742911	131.1%
MLM	NVR	2.8308475528290844e-17	229.9158140995588	3338.889723333229	130.8%
BIO	ETN	4.2462713292436265e-17	319.74976090511	60.95059152428372	130.7%
DLTR	IT	-4.77705524539908e-17	103.14386448347236	149.9661355493553	130.6%
HES	VFC	2.8308475528290844e-17	59.55059964913296	81.04492923083059	130.4%
HES	LYB	3.18470349693272e-17	59.55059964913296	76.44202679941854	130.3%
ADM	BIIB	2.5654555947513576e-17	38.61159351242491	261.66737025287523	130.3%
LRCX	TGT	3.18470349693272e-17	209.00412564828576	89.99990759617779	130.3%
DLTR	WAT	4.6885912593731706e-17	103.14386448347236	222.66729073695453	130.0%
MTCH	PAYC	3.6712554200752187e-17	69.56227107257007	217.99932302041836	129.9%
BIIB	SCHW	1.0173358392979522e-17	261.66737025287523	41.83509834259155	129.5%
AVGO	KMX	4.9539832174508976e-17	268.348134196612	81.45940244150351	129.4%
DLTR	HES	8.138686714383618e-17	103.14386448347236	59.55059964913296	129.2%
BIIB	CHRW	-6.36940699386544e-17	261.66737025287523	79.7344851246868	129.0%
DISH	INCY	-9.731038462849978e-17	34.573904364232526	82.25713153854309	128.6%
WBA	WYNN	2.9193115388549925e-17	53.10900182837984	121.0017433318484	128.4%
BIIB	VMC	-4.2462713292436265e-17	261.66737025287523	129.29391579798968	128.4%
HES	YUM	-9.067558567655662e-17	59.55059964913296	99.94347843610907	128.3%
MAR	UHS	8.138686714383618e-17	129.95632606293574	135.69894214645325	128.0%
DPZ	UNH	-1.3446525875938151e-16	260.5725640528706	242.13881558726032	128.0%
EFX	FB	2.8308475528290844e-17	127.64937606750732	185.3225893423377	128.0%
BIIB	KO	-3.538559441036356e-17	261.66737025287523	47.32394173610733	127.6%
CMG	ETN	5.661695105658169e-17	741.5357763282806	60.95059152428372	127.5%
BIIB	GILD	-1.0615678323109066e-17	261.66737025287523	60.42897398443336	127.1%
MU	ROL	7.077118882072711e-17	43.49149536801525	23.89374154687403	127.0%
MU	TTWO	1.1500318183368156e-17	43.49149536801525	112.813466106278	127.0%
LEN	ROK	-1.2031102099523608e-16	51.41909777880665	164.84379735695887	126.9%
BIIB	CTSH	-8.846398602590887e-17	261.66737025287523	63.26871647017885	126.9%
DHI	FB	7.077118882072711e-17	45.70093322085194	185.3225893423377	126.8%
AAP	ANET	-2.1231356646218133e-17	154.06298645749035	61.71735049243942	126.7%
BIIB	SNA	7.077118882072711e-18	261.66737025287523	150.03159359631786	126.7%
BRK.B	BIIB	0.0	209.56326707330837	261.66737025287523	126.6%
HBAN	ULTA	2.8308475528290844e-17	12.318580718629388	299.32310850591773	126.6%
ANET	TWTR	9.200254546694524e-17	61.71735049243942	35.64597617677484	126.5%
